time, Quad.GPS.X
0.105000,-0.372324
0.205000,0.639946
0.305000,-0.736695
0.404998,0.869266
0.504997,0.180186
0.604996,-0.945233
0.704994,0.887962
0.804993,-0.259694
0.904992,-0.450411
1.004991,-1.571582
1.104996,-0.470606
1.205000,-0.521889
1.305005,0.253400
1.405010,0.472109
1.505014,-0.728194
1.605019,-0.304042
1.705024,0.691465
1.805028,0.977317
1.905033,-0.719739
2.005037,0.026280
2.105030,-0.246175
2.205023,0.657959
2.305015,0.154358
2.405008,0.268359
2.505001,-1.340569
2.604994,-0.121958
2.704986,-0.281188
2.804979,-0.170177
2.904972,-0.305871
3.004965,0.506164
3.104957,-1.532528
3.204950,0.509979
3.304943,-0.526605
3.404936,0.039929
3.504928,0.415547
3.604921,-0.277003
3.704914,0.223298
3.804907,-0.660160
