time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073909
0.015000,0.523317
0.020000,-0.426586
0.025000,0.915924
0.030000,-0.297043
0.035000,0.181258
0.040000,-0.571152
0.045000,0.307581
0.050000,-1.088275
0.055000,-0.002356
0.060000,0.407400
0.065000,-0.804042
0.070000,0.971033
0.075000,0.592822
0.080000,0.170668
0.085000,0.485927
0.090000,0.754946
0.095000,-0.053257
0.100000,0.817554
0.105000,1.032941
0.110000,0.293359
0.115000,0.030613
0.120000,-0.166909
0.125000,-0.118619
0.130000,-1.021416
0.135000,-0.073116
0.140000,0.066493
0.145000,0.420369
0.150000,0.261715
0.155000,-0.595785
0.160000,0.455597
0.165000,-0.058938
0.170000,0.330164
0.175000,0.895763
0.180000,0.072072
0.185000,-0.642314
0.190000,-0.676606
0.195000,-0.023964
0.200000,0.692935
0.205000,-0.667180
0.210000,-0.502684
0.215000,0.152739
0.220000,-0.746629
0.225000,-0.186266
0.230000,0.081409
0.235000,-0.295560
0.240000,-0.245753
0.245000,-0.530026
0.250000,-0.074810
0.255000,-0.683032
0.260000,0.197636
0.265000,-0.268206
0.270000,-0.410033
0.275000,-0.510910
0.280000,0.083981
0.285000,0.245345
0.290000,-0.527166
0.295000,-0.290803
0.300000,-0.036519
0.305000,-0.315940
0.310000,0.597909
0.314999,-0.020319
0.319999,0.531993
0.324999,0.522045
0.329999,0.597342
0.334999,-0.107390
0.339999,-0.264467
0.344999,-0.035619
0.349999,-0.613512
0.354999,-0.188611
0.359999,0.138659
0.364999,0.519731
0.369999,1.176364
0.374999,0.281423
0.379999,-0.158958
0.384999,-0.609100
0.389999,0.304457
0.394998,0.191228
0.399998,-0.005596
0.404998,-0.814756
0.409998,0.246991
0.414998,-0.219619
0.419998,0.442417
0.424998,0.098436
0.429998,-0.545070
0.434998,-0.327750
0.439998,-0.219146
0.444998,0.048273
0.449998,-0.992610
0.454998,-1.218499
0.459998,0.037694
0.464998,0.360984
0.469997,-0.559912
0.474997,-0.499478
0.479997,0.895941
0.484997,0.202171
0.489997,-0.611103
0.494997,-0.114146
0.499997,-0.268169
0.504997,0.327303
0.509997,-0.383378
0.514997,0.221978
0.519997,-0.101858
0.524997,0.009066
0.529997,-0.637766
0.534997,0.090165
0.539997,0.383507
0.544997,0.192709
0.549996,-0.617231
0.554996,0.058040
0.559996,-0.491584
0.564996,0.394854
0.569996,-0.874245
0.574996,-0.043196
0.579996,-0.071892
0.584996,-0.054510
0.589996,0.369472
0.594996,0.440828
0.599996,-0.967205
0.604996,0.062314
0.609996,-0.299876
0.614996,0.103410
0.619996,0.354741
0.624996,-0.267067
0.629995,0.496303
0.634995,0.080714
0.639995,-1.078143
0.644995,-0.120164
0.649995,0.287576
0.654995,0.600567
0.659995,-0.103613
0.664995,0.554094
0.669995,0.030050
0.674995,0.166102
0.679995,-0.627829
0.684995,0.033686
0.689995,0.003181
0.694995,0.566774
0.699995,0.564952
0.704994,-0.239098
0.709994,0.613399
0.714994,-0.272130
0.719994,-0.043209
0.724994,0.722788
0.729994,0.004625
0.734994,0.583076
0.739994,-0.718892
0.744994,0.586539
0.749994,-0.078489
0.754994,-0.236522
0.759994,0.217099
0.764994,0.387724
0.769994,-0.489433
0.774994,0.719519
0.779994,-0.102222
0.784993,-0.128856
0.789993,0.540642
0.794993,-0.933664
0.799993,-0.119288
0.804993,0.146646
0.809993,-0.389874
0.814993,-0.235982
0.819993,-0.184680
0.824993,0.439026
0.829993,0.047018
0.834993,0.289586
0.839993,0.036275
0.844993,0.613654
0.849993,-0.101332
0.854993,-0.123042
0.859993,-0.361254
0.864992,-0.180971
0.869992,-0.482991
0.874992,0.101160
0.879992,-0.102483
0.884992,-0.401350
0.889992,-0.680156
0.894992,-0.709233
0.899992,0.463950
0.904992,-0.026613
0.909992,0.183125
0.914992,-0.338627
0.919992,-0.380370
0.924992,-0.267335
0.929992,0.465389
0.934992,-0.451763
0.939991,0.296748
0.944991,-0.242197
0.949991,1.249164
0.954991,-0.664469
0.959991,0.477038
0.964991,1.182748
0.969991,-0.737554
0.974991,0.956165
0.979991,-0.693172
0.984991,0.165640
0.989991,0.620718
0.994991,-0.622914
0.999991,0.230040
1.004991,0.133298
1.009991,-0.013438
1.014991,0.916823
1.019992,0.587699
1.024992,-0.109289
1.029992,-0.698956
1.034992,-0.005998
1.039993,-0.022798
1.044993,-0.063858
1.049993,0.701808
1.054993,-0.083261
1.059994,-0.165062
1.064994,-0.066774
1.069994,-0.295899
1.074994,-0.177165
1.079994,0.553588
1.084995,0.112825
1.089995,-0.133952
1.094995,-0.107444
1.099995,0.454986
1.104996,-0.142226
1.109996,0.508415
1.114996,-0.261604
1.119996,-0.120634
1.124997,-0.343381
1.129997,-0.791590
1.134997,0.370942
1.139997,0.171927
1.144997,-0.308698
1.149998,1.045017
1.154998,0.407184
1.159998,0.014900
1.164998,-0.357344
1.169999,-0.114042
1.174999,0.468708
1.179999,0.270415
1.184999,-0.452769
1.190000,-0.422275
1.195000,-0.022568
1.200000,-0.151208
1.205000,0.091982
1.210001,0.116897
1.215001,-0.175577
1.220001,-0.801263
1.225001,0.737178
1.230001,0.042211
1.235002,-0.441134
1.240002,-0.515039
1.245002,-0.224281
1.250002,-1.009161
1.255003,0.269374
1.260003,0.928712
1.265003,-0.348844
1.270003,-0.048633
1.275004,0.512837
1.280004,0.445380
1.285004,0.289286
1.290004,-0.903130
1.295004,0.104940
1.300005,0.235054
1.305005,0.063147
1.310005,-0.523715
1.315005,0.062301
1.320006,-0.151673
1.325006,0.387178
1.330006,0.037850
1.335006,-0.234617
1.340007,0.263862
1.345007,-0.399513
1.350007,0.147407
1.355007,-0.710312
1.360008,-0.212644
1.365008,-0.143583
1.370008,-0.271517
1.375008,1.229000
1.380008,-0.555642
1.385009,0.236005
1.390009,-0.114341
1.395009,0.201438
1.400009,0.007901
